TreeDepth,PID,Process,Offset,HandleValue,Type,GrantedAccess,Name
0,4,System,0xd086a40e73c0,0x9c,Key,0x2,"MACHINE\SYSTEM\RNG"
0,4,System,0xd086a47c6dc0,0xa0,SymbolicLink,0xf0001,SCSI#CdRom&Ven_NECVMWar&Prod_VMware_SATA_CD00#5&a629540&0&000000#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}
0,4,System,0xd086a40e75d0,0xa8,Token,0xe,
0,4,System,0xd086a3ff8b50,0xac,Key,0x20019,"MACHINE\SYSTEM\CONTROLSET001\CONTROL\WMI\SECURITY"
0,4,System,0xd086a464e8e0,0xb0,Key,0x10,"MACHINE\SYSTEM\CONTROLSET001\SERVICES\SWENUM\NOTIFY"
0,4,System,0xd086a40ee680,0xb4,SymbolicLink,0xf0001,ACPI#FixedButton#2&daba3ff&1#{4afa3d53-74a7-11d0-be5e-00a0c9062857}
0,4,System,0xd086a426b7b0,0xb8,SymbolicLink,0xf0001,ROOT#spaceport#0000#{ef66a56f-88d1-4cd8-98c4-49faf57ad8af}
0,4,System,0x8c88af90c580,0xbc,Process,0x102a,smss.exe Pid 388
0,4,System,0xd086a42984a0,0xc0,SymbolicLink,0xf0001,PCIIDE#IDEChannel#4&39ec5d8a&0&1#{2accfe60-c130-11d2-b082-00a0c91efb8b}
0,4,System,0xd086a40b6f70,0xc4,Key,0xf003f,"MACHINE\SYSTEM\HARDWARECONFIG\{BF0C3F42-0D35-662F-0BDC-63CD874E6DD7}\PRODUCTIDS"
0,4,System,0xd086a4274320,0xc8,SymbolicLink,0xf0001,ROOT#vdrvroot#0000#{2e34d650-5819-42ca-84ae-d30803bae505}
0,4,System,0x8c88b01ec770,0xcc,ALPC Port,0x1f0001,PdcPort
0,4,System,0xd086a40e1930,0xd0,Key,0x10,"MACHINE\SYSTEM\CONTROLSET001\CONTROL\FILESYSTEM"
0,4,System,0x8c88b08dcd70,0xd4,Event,0x2,EFSInitEvent
0,4,System,0x8c88b07f4700,0xd8,Thread,0x1fffff,Tid 380 Pid 4
0,4,System,0xd086a464f800,0xdc,Key,0xf003f,"MACHINE\SYSTEM\CONTROLSET001\CONTROL\{7746D80F-97E0-4E26-9543-26B41FC22F79}\{A25AE4F2-1B96-4CED-8007-AA30E9B1A218}"
0,4,System,0xd086a4692360,0xe0,SymbolicLink,0xf0001,ACPI#PNP0F13#4&25ee97c0&0#{378de44c-56ef-11d1-bc8c-00a0c91405dd}
0,4,System,0xd086a41c3050,0xe4,Key,0xf003f,"MACHINE\SYSTEM\CONTROLSET001\SERVICES\BAM\USERSETTINGS"
0,4,System,0xd086a3e1a8e0,0xe8,Key,0x10,"MACHINE\SYSTEM\CONTROLSET001\SERVICES\DFSC\PARAMETERS"
0,4,System,0xd086a4638f30,0xec,Section,0x6,
0,4,System,0xd086a4673a40,0xf0,SymbolicLink,0xf0001,PCI#VEN_15AD&DEV_07B0&SUBSYS_07B015AD&REV_01#FFC7C6A2001600FE00#{cac88484-7515-4c03-82e6-71a87abac361}
0,4,System,0x8c88b080e430,0xf4,File,0x120116,"\Device\Mup"
0,4,System,0xd086a41de050,0xf8,Key,0x10,"MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA"
0,4,System,0xd086a4664280,0xfc,SymbolicLink,0xf0001,SCSI#CdRom&Ven_NECVMWar&Prod_VMware_SATA_CD00#5&a629540&0&000000#{53f56308-b6bf-11d0-94f2-00a0c91efb8b}
0,4,System,0x8c88b1614080,0x100,Thread,0x1fffff,Tid 580 Pid 4
0,4,System,0xd086a463c530,0x104,Key,0xf003f,"MACHINE\SYSTEM\CONTROLSET001\CONTROL\{7746D80F-97E0-4E26-9543-26B41FC22F79}\{D73E01AC-F5A0-4D80-928B-33C1920C38BA}"
0,4,System,0xd086a46230b0,0x108,SymbolicLink,0xf0001,ROOT#SYSTEM#0000#{3c0d501a-140b-11d1-b40f-00a0c9223196}
0,4,System,0xd086a45eab60,0x10c,Key,0xf003f,"MACHINE\SYSTEM\CONTROLSET001\CONTROL\{7746D80F-97E0-4E26-9543-26B41FC22F79}\{59AEE675-B203-4D61-9A1F-04518A20F359}"
0,4,System,0xd086a464e4d0,0x114,Key,0xf003f,"MACHINE\SYSTEM\CONTROLSET001\CONTROL\{7746D80F-97E0-4E26-9543-26B41FC22F79}\{498B1B9F-8618-4E6C-9AD1-6A759BFBFB23}"
0,4,System,0xd086a4646f70,0x118,Key,0xf003f,"MACHINE\SYSTEM\CONTROLSET001\CONTROL\{7746D80F-97E0-4E26-9543-26B41FC22F79}\{FB9F5B62-B48B-45F5-8586-E514958C92E2}"
0,4,System,0xd086a4643920,0x11c,Key,0xf003f,"MACHINE\SYSTEM\CONTROLSET001\CONTROL\{7746D80F-97E0-4E26-9543-26B41FC22F79}\{221601AB-48C7-4970-B0EC-96E66F578407}"
0,4,System,0xd086a469b9a0,0x120,SymbolicLink,0xf0001,ROOT#SYSTEM#0000#{4747b320-62ce-11cf-a5d6-28db04c10000}
0,4,System,0x8c88b07ef600,0x124,ALPC Port,0x1f0001,SeRmCommandPort
0,4,System,0xd086a47ade50,0x128,Key,0x11,"MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA"
0,4,System,0x8c88af90c580,0x12c,Process,0x1fffff,smss.exe Pid 388
0,4,System,0x8c88b1605590,0x130,File,0x20003,"\Device\HarddiskVolume2\Windows\System32\config\SYSTEM"
0,4,System,0x8c88af90c580,0x138,Process,0x102a,smss.exe Pid 388
0,4,System,0x8c88b06d1ce0,0x13c,TmRm,0x12007f,
0,4,System,0x8c88b06bf9f0,0x144,File,0x120089,"\Device\HarddiskVolume2\System Volume Information\{3808876b-c176-4e48-b7ae-04046e6cc752}"
0,4,System,0x8c88b06cf040,0x148,TmTm,0xf003f,
0,4,System,0x8c88b06d0bb0,0x14c,TmRm,0x1f007f,
0,4,System,0x8c88b06cd360,0x150,File,0x1,"\Device\HarddiskVolume2\$Extend\$RmMetadata\$Txf:$I30:$INDEX_ALLOCATION"
0,4,System,0x8c88b06ccef0,0x15c,File,0x12019f,"\Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000006"
0,4,System,0x8c88b06c82a0,0x160,File,0x12019f,"\Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000005"
0,4,System,0xd086a429f730,0x164,SymbolicLink,0xf0001,PCI#VEN_15AD&DEV_07B0&SUBSYS_07B015AD&REV_01#FFC7C6A2001600FE00#{ad498944-762f-11d0-8dcb-00c04fc3358c}
0,4,System,0xd086a41ff9c0,0x168,Key,0x8,"MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER\PROFILE\EVENTS\{54533251-82BE-4824-96C1-47B60B740D00}\{0DA965DC-8FCF-4C0B-8EFE-8DD5E7BC959A}\{7E01ADEF-81E6-4E1B-8075-56F373584694}"
0,4,System,0xd086a41ffe10,0x16c,Key,0x8,"MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER\PROFILE\EVENTS\{54533251-82BE-4824-96C1-47B60B740D00}\{0AABB002-A307-447E-9B81-1D819DF6C6D0}\{CE74AA52-A71A-4036-BEEF-B6C411010E28}"
0,4,System,0x8c88b01fd040,0x170,Thread,0x1fffff,Tid 216 Pid 4
0,4,System,0xd086a4298360,0x174,Key,0x8,"MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER\PROFILE\EVENTS\{54533251-82BE-4824-96C1-47B60B740D00}\{EE1E4F72-E368-46B1-B3C6-5048B11C2DBD}\{9C1F0DBA-33E9-43AF-9EDA-A607AA5139DA}"
0,4,System,0xd086a4032ac0,0x178,SymbolicLink,0xf0001,PCI#VEN_1000&DEV_0054&SUBSYS_197615AD&REV_01#4&2732702b&0&00A8#{2accfe60-c130-11d2-b082-00a0c91efb8b}
0,4,System,0xd086a4274dc0,0x17c,Key,0x8,"MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER\PROFILE\EVENTS\{54533251-82BE-4824-96C1-47B60B740D00}\{8BC6262C-C026-411D-AE3B-7E2F70811A13}\{C072EEBB-1955-4FA9-B4BA-421E96E1D674}"
0,4,System,0xd086a413b430,0x180,Key,0xf003f,"MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 0\SCSI BUS 0"
0,4,System,0xd086a4262bc0,0x184,SymbolicLink,0xf0001,ROOT#volmgr#0000#{53f5630e-b6bf-11d0-94f2-00a0c91efb8b}
0,4,System,0xd086a42a0180,0x188,SymbolicLink,0xf0001,PCIIDE#IDEChannel#4&39ec5d8a&0&0#{2accfe60-c130-11d2-b082-00a0c91efb8b}
0,4,System,0xd086a41174c0,0x18c,SymbolicLink,0xf0001,PCI#VEN_15AD&DEV_07E0&SUBSYS_07E015AD&REV_00#4&b70f118&0&0888#{2accfe60-c130-11d2-b082-00a0c91efb8b}
0,4,System,0xd086a4299350,0x190,Key,0x10,"MACHINE\SYSTEM\CONTROLSET001\CONTROL\FILESYSTEM"
0,4,System,0xd086a4293c30,0x194,Key,0xf003f,"MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 0"
0,4,System,0x8c88b02dd700,0x198,Thread,0x1fffff,Tid 220 Pid 4
0,4,System,0xd086a40d4f70,0x19c,Key,0xf003f,"MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 2"
0,4,System,0xd086a40abdf0,0x1a0,Key,0xf003f,"MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 6"
0,4,System,0xd086a40f4830,0x1a4,Key,0xf003f,"MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 4"
0,4,System,0xd086a429be80,0x1a8,Key,0xf003f,"MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 1"
0,4,System,0xd086a3ffc190,0x1ac,Key,0xf003f,"MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 5"
0,4,System,0xd086a4279e00,0x1b0,Key,0xf003f,"MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 3"
0,4,System,0xd086a429a0f0,0x1b4,Key,0xf003f,"MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 7"
0,4,System,0xd086a4257d70,0x1b8,Key,0xf003f,"MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 8"
0,4,System,0xd086a40bcf70,0x1bc,Key,0xf003f,"MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 9"
0,4,System,0xd086a429c220,0x1c0,Key,0xf003f,"MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 10"
0,4,System,0xd086a3218de0,0x1c4,Key,0xf003f,"MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 11"
0,4,System,0xd086a429c140,0x1c8,Key,0xf003f,"MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 12"
0,4,System,0xd086a41ff350,0x1cc,Key,0xf003f,"MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 13"
0,4,System,0xd086a41fc050,0x1d0,Key,0xf003f,"MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 14"
0,4,System,0xd086a3ffb4e0,0x1d4,Key,0xf003f,"MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 15"
0,4,System,0xd086a41fc1f0,0x1d8,Key,0xf003f,"MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 16"
0,4,System,0xd086a3ffb400,0x1dc,Key,0xf003f,"MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 17"
0,4,System,0xd086a40f4f70,0x1e0,Key,0xf003f,"MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 18"
0,4,System,0xd086a4285f40,0x1e4,Key,0xf003f,"MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 19"
0,4,System,0xd086a40f4e90,0x1e8,Key,0xf003f,"MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 20"
0,4,System,0xd086a4285e60,0x1ec,Key,0xf003f,"MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 21"
0,4,System,0xd086a40f4db0,0x1f0,Key,0xf003f,"MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 22"
0,4,System,0xd086a4279b10,0x1f4,Key,0xf003f,"MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 23"
0,4,System,0xd086a4206410,0x1f8,Key,0xf003f,"MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 24"
0,4,System,0xd086a4279a30,0x1fc,Key,0xf003f,"MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 25"
0,4,System,0xd086a4206330,0x200,Key,0xf003f,"MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 26"
0,4,System,0xd086a4279570,0x204,Key,0xf003f,"MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 27"
0,4,System,0xd086a4206250,0x208,Key,0xf003f,"MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 28"
0,4,System,0xd086a4279490,0x20c,Key,0xf003f,"MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 3\SCSI BUS 29"
0,4,System,0x8c88b025a5f0,0x210,TmTm,0xf003f,
0,4,System,0x8c88b0250820,0x214,FilterConnectionPort,0x1f0001,VsepUmcPort
0,4,System,0x8c88b025b050,0x218,TmRm,0x1f007f,
0,4,System,0x8c88b025bdb0,0x21c,TmRm,0x1f007f,
0,4,System,0x8c88b0290040,0x220,Thread,0x1fffff,Tid 224 Pid 4
0,4,System,0x8c88b0292040,0x228,Thread,0x1fffff,Tid 228 Pid 4
0,4,System,0x8c88b0202de0,0x22c,Event,0x1f0003,VMW_NetFilterReady
0,4,System,0x8c88b0293040,0x230,Thread,0x1fffff,Tid 232 Pid 4
0,4,System,0x8c88aea4e040,0x234,Process,0x1440,System Pid 4
0,4,System,0xd086a4190b90,0x244,Key,0x10,"MACHINE\SYSTEM\CONTROLSET001\POLICIES"
0,4,System,0xd086a4039ee0,0x248,Key,0x10,"MACHINE\SYSTEM\CONTROLSET001\CONTROL\NETWORKPROVIDER\ORDER"
0,4,System,0xd086a2c18040,0x24c,Token,0xf01ff,
0,4,System,0xd086a411c740,0x250,Key,0xb,"MACHINE\SYSTEM\CONTROLSET001\SERVICES\NDIS\IFTYPES\24"
0,4,System,0xd086a40f0d90,0x254,Key,0xb,"MACHINE\SYSTEM\CONTROLSET001\SERVICES\NDIS\IFTYPES\71"
0,4,System,0xd086a4290220,0x258,Key,0xf003f,"MACHINE\SYSTEM\CONTROLSET001\SERVICES\IORATE"
0,4,System,0xd086a4033630,0x25c,Key,0x20019,"MACHINE\SYSTEM\CONTROLSET001\SERVICES\MUP"
0,4,System,0xd086a429f3b0,0x260,Key,0x10,"MACHINE\SYSTEM\CONTROLSET001\CONTROL\NETWORKPROVIDER\PROVIDERORDER"
0,4,System,0xd086a4047aa0,0x264,SymbolicLink,0xf0001,SCSI#Disk&Ven_VMware&Prod_Virtual_disk#5&1982005&0&000000#{53f56307-b6bf-11d0-94f2-00a0c91efb8b}
0,4,System,0xd086a41fa780,0x268,SymbolicLink,0xf0001,STORAGE#Volume#{51db42d7-e154-11e7-a8c5-806e6f6e6963}#0000000000100000#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}
0,4,System,0x8c88b0554040,0x26c,Thread,0x1fffff,Tid 288 Pid 4
0,4,System,0xd086a4085f40,0x270,SymbolicLink,0xf0001,STORAGE#Volume#{51db42d7-e154-11e7-a8c5-806e6f6e6963}#000000001F500000#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}
0,4,System,0x8c88b06be340,0x274,File,0x12019f,"\Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf"
0,4,System,0xd086a3ffcd90,0x278,Directory,0xf000f,Harddisk0
0,4,System,0x8c88b0553040,0x27c,Thread,0x1fffff,Tid 292 Pid 4
0,4,System,0x8c88b06c75a0,0x280,File,0x120089,"\Device\HarddiskVolume2\Windows\System32\drivers\en-US\ntfs.sys.mui"
0,4,System,0xd086a41d7ac0,0x284,SymbolicLink,0xf0001,ACPI#PNP0303#4&25ee97c0&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
0,4,System,0xd086a467ad50,0x288,SymbolicLink,0xf0001,ROOT#UMBUS#0000#{65a9a6cf-64cd-480b-843e-32c86e1ba19f}
0,4,System,0xd086a411a740,0x28c,SymbolicLink,0xf0001,ACPI#GenuineIntel_-_Intel64_Family_6_Model_85_-_Intel(R)_Xeon(R)_Gold_6152_CPU_@_2.10GHz#_0#{97fadb10-4e33-40ae-359c-8bef029dbdd0}
0,4,System,0xd086a4698d90,0x290,SymbolicLink,0xf0001,ACPI#VMW0001#7#{3ff2c92b-6598-4e60-8e1c-0ccf4927e319}
0,4,System,0xd086a429f610,0x294,SymbolicLink,0xf0001,ACPI#GenuineIntel_-_Intel64_Family_6_Model_85_-_Intel(R)_Xeon(R)_Gold_6152_CPU_@_2.10GHz#_0#{dbe4373d-3c81-40cb-ace4-e0e5d05f0c9f}
0,4,System,0xd086a47c6d30,0x298,SymbolicLink,0xf0001,ACPI#GenuineIntel_-_Intel64_Family_6_Model_85_-_Intel(R)_Xeon(R)_Gold_6152_CPU_@_2.10GHz#_1#{dbe4373d-3c81-40cb-ace4-e0e5d05f0c9f}
0,4,System,0xd086a468f770,0x29c,SymbolicLink,0xf0001,ACPI#GenuineIntel_-_Intel64_Family_6_Model_85_-_Intel(R)_Xeon(R)_Gold_6152_CPU_@_2.10GHz#_1#{97fadb10-4e33-40ae-359c-8bef029dbdd0}
0,4,System,0x8c88b112def0,0x2a0,File,0x100001,"\Device\KsecDD"
0,4,System,0x8c88b0978060,0x2a4,File,0x1,"\Device\mfehidk"
0,4,System,0x8c88b2f72300,0x2a8,IoCompletion,0x1f0003,
0,4,System,0x8c88b15ed1e0,0x2ac,File,0x13008b,"\Device\HarddiskVolume2\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventLog-System.etl"
0,4,System,0x8c88b097b8f0,0x2b0,File,0x12019f,"\Device\Tcp"
0,4,System,0x8c88b0961060,0x2b4,File,0x1,"\Device\mfehidk"
0,4,System,0x8c88b1133d60,0x2b8,File,0x100000,"\Device\HarddiskVolume2\Windows\bootstat.dat"
0,4,System,0x8c88b0abab90,0x2bc,File,0x1,"\Device\mfehidk"
0,4,System,0xd086aadc3210,0x2c0,Key,0xf003f,"MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\NOTIFICATIONS"
0,4,System,0xd086a566e060,0x2c4,Token,0xf01ff,
0,4,System,0x8c88b15f09f0,0x2cc,File,0x12019f,"\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf"
0,4,System,0x8c88b1128430,0x2d0,File,0x1,"\Device\mfehidk"
0,4,System,0x8c88b153ca00,0x2d4,IoCompletion,0x1f0003,
0,4,System,0x8c88b23911d0,0x2d8,WaitCompletionPacket,0x1,
0,4,System,0x8c88b305e580,0x2dc,IoCompletion,0x1f0003,
0,4,System,0x8c88b3023580,0x2e0,Process,0x102a,vmacthlp.exe Pid 1392
0,4,System,0x8c88b1d9e9e0,0x2e4,Session,0x0,Session3
0,4,System,0xd086a4f7b4c0,0x2f0,SymbolicLink,0xf0001,UMB#UMB#1&841921d&0&TERMINPUT_BUS#{65a9a6cf-64cd-480b-843e-32c86e1ba19f}
0,4,System,0x8c88b1881580,0x2f4,Process,0x102a,svchost.exe Pid 556
0,4,System,0x8c88b1129cd0,0x2f8,FilterConnectionPort,0x1f0001,storqosfltport
0,4,System,0x8c88aeb42bd0,0x2fc,ALPC Port,0x1f0001,
0,4,System,0x8c88b30e87b0,0x300,Event,0x1f0003,CfProgressEvent
0,4,System,0x8c88b1881580,0x304,Process,0x102a,svchost.exe Pid 556
0,4,System,0x8c88b3023580,0x308,Process,0x102a,vmacthlp.exe Pid 1392
0,4,System,0x8c88b07c0ed0,0x30c,FilterConnectionPort,0x1f0001,CLDMSGPORT
0,4,System,0x8c88b3023580,0x310,Process,0x1fffff,vmacthlp.exe Pid 1392
0,4,System,0x8c88b30f5cd0,0x314,File,0x3,"\Device\HarddiskVolume2"
0,4,System,0x8c88b3023580,0x318,Process,0x102a,vmacthlp.exe Pid 1392
0,4,System,0x8c88aeb47dc0,0x31c,IoCompletion,0x1f0003,
0,4,System,0x8c88b310ad50,0x320,WaitCompletionPacket,0x1,
0,4,System,0x8c88b0235800,0x324,Event,0x1f0003,
0,4,System,0x8c88b3102190,0x328,Event,0x1f0003,DwmComposedEvent_1
0,4,System,0x8c88b3105d00,0x32c,IoCompletion,0x1f0003,
0,4,System,0x8c88b30ff7f0,0x330,Event,0x1f0003,
0,4,System,0x8c88b1887580,0x334,Process,0x102a,dwm.exe Pid 432
0,4,System,0x8c88b01c03b0,0x338,Event,0x1f0003,
0,4,System,0xd086a51386e0,0x33c,Key,0x20019,"MACHINE\SYSTEM\CONTROLSET001\SERVICES\WCIFS\INSTANCES\WCIFS INSTANCE"
0,4,System,0xd086a57be060,0x340,Token,0xf01ff,
0,4,System,0x8c88b310cc80,0x344,WaitCompletionPacket,0x1,
0,4,System,0x8c88b310cd80,0x348,IoCompletion,0x1f0003,
0,4,System,0x8c88b30ead70,0x34c,CoreMessaging,0xf0000,
0,4,System,0x8c88b31006a0,0x350,Event,0x1f0003,
0,4,System,0x8c88b31039e0,0x354,WaitCompletionPacket,0x1,
0,4,System,0x8c88b3103ab0,0x358,WaitCompletionPacket,0x1,
0,4,System,0x8c88b3103b80,0x35c,WaitCompletionPacket,0x1,
0,4,System,0x8c88b3103c50,0x360,WaitCompletionPacket,0x1,
0,4,System,0x8c88b3103d20,0x364,WaitCompletionPacket,0x1,
0,4,System,0x8c88b3103df0,0x368,WaitCompletionPacket,0x1,
0,4,System,0x8c88b3103ec0,0x36c,WaitCompletionPacket,0x1,
0,4,System,0x8c88b30b7880,0x370,CoreMessaging,0xf0000,
0,4,System,0x8c88b30a6c40,0x374,CoreMessaging,0xf0000,
0,4,System,0x8c88b30b7a40,0x378,ALPC Port,0x1f0001,
0,4,System,0x8c88b131d1d0,0x37c,WaitCompletionPacket,0x1,
0,4,System,0x8c88b30b9b80,0x380,IoCompletion,0x1f0003,
0,4,System,0x8c88b30d1470,0x384,Event,0x1f0003,
0,4,System,0x8c88b30a6a20,0x388,Event,0x100000,
0,4,System,0x8c88b134d1d0,0x38c,WaitCompletionPacket,0x1,
0,4,System,0x8c88b30aaa40,0x390,IoCompletion,0x1f0003,
0,4,System,0x8c88b30b2c60,0x394,Event,0x1f0003,
0,4,System,0x8c88b1881580,0x398,Process,0x102a,svchost.exe Pid 556
0,4,System,0xd086a57e8ac0,0x39c,Token,0xe,
0,4,System,0x8c88b1629060,0x3a0,File,0x12019f,"\Device\HarddiskVolume2\Windows\System32\config\TxR\{47a6a0d1-a514-11e7-a94e-ec0d9a05c860}.TM.blf"
0,4,System,0x8c88b15f0060,0x3a4,File,0x12019f,"\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001"
0,4,System,0x8c88af90c580,0x3a8,Process,0x102a,smss.exe Pid 388
0,4,System,0x8c88b15d2540,0x3ac,File,0x12019f,"\Device\HarddiskVolume2\Windows\bootstat.dat"
